Congressmember Name,Congressmember Role
"Price, David","Representative for North Carolina's 4th congressional district, 1997-2020"
"Quigley, Mike","Representative for Illinois's 5th congressional district, 2009-2020"
"Raskin, Jamie","Representative for Maryland's 8th congressional district, 2017-2020"
"Ratcliffe, John","Representative for Texas's 4th congressional district, 2015-2020"
"Reed, John “Jack”","Senior Senator for Rhode Island, 1997-2020"
"Reed, Tom","Representative for New York's 23rd congressional district, 2013-2020"
"Reschenthaler, Guy","Representative for Pennsylvania's 14th congressional district, 2019-2020"
"Rice, Kathleen","Representative for New York's 4th congressional district, 2015-2020"
"Rice, Tom","Representative for South Carolina's 7th congressional district, 2013-2020"
"Richmond, Cedric","Representative for Louisiana's 2nd congressional district, 2011-2020"
"Riggleman, Denver","Representative for Virginia's 5th congressional district, 2019-2020"
"Risch, James","Junior Senator for Idaho, 2009-2020"
"Roberts, Pat","Senior Senator for Kansas, 1997-2020"
"Roby, Martha","Representative for Alabama's 2nd congressional district, 2011-2020"
"Roe, David “Phil”","Representative for Tennessee's 1st congressional district, 2009-2020"
"Rogers, Harold “Hal”","Representative for Kentucky's 5th congressional district, 1981-2020"
"Rogers, Mike","Representative for Alabama's 3rd congressional district, 2003-2020"
"Romney, Mitt","Junior Senator for Utah, 2019-2024"
